# Time     Valence0    Valence1     Valence2     Valence3     Valence4     Valence5     Valence6
5.840000000000000000e+04 5.925925925925926152e-02 4.481481481481481288e-01 4.666666666666666741e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.850000000000000000e+04 5.925925925925926152e-02 4.456790123456790265e-01 4.691358024691357764e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.860000000000000000e+04 5.925925925925926152e-02 4.456790123456790265e-01 4.691358024691357764e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.870000000000000000e+04 5.925925925925926152e-02 4.456790123456790265e-01 4.691358024691357764e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.880000000000000000e+04 5.925925925925926152e-02 4.456790123456790265e-01 4.691358024691357764e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.890000000000000000e+04 5.925925925925926152e-02 4.456790123456790265e-01 4.691358024691357764e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.900000000000000000e+04 5.925925925925926152e-02 4.456790123456790265e-01 4.691358024691357764e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.910000000000000000e+04 5.925925925925926152e-02 4.456790123456790265e-01 4.691358024691357764e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.920000000000000000e+04 5.925925925925926152e-02 4.456790123456790265e-01 4.691358024691357764e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.930000000000000000e+04 5.925925925925926152e-02 4.456790123456790265e-01 4.691358024691357764e-01 2.592592592592592518e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.940000000000000000e+04 5.925925925925926152e-02 4.444444444444444198e-01 4.691358024691357764e-01 2.716049382716049371e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.950000000000000000e+04 5.925925925925926152e-02 4.444444444444444198e-01 4.691358024691357764e-01 2.716049382716049371e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.960000000000000000e+04 5.925925925925926152e-02 4.444444444444444198e-01 4.691358024691357764e-01 2.716049382716049371e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.970000000000000000e+04 5.925925925925926152e-02 4.444444444444444198e-01 4.691358024691357764e-01 2.716049382716049371e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.980000000000000000e+04 5.925925925925926152e-02 4.444444444444444198e-01 4.691358024691357764e-01 2.716049382716049371e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.990000000000000000e+04 5.925925925925926152e-02 4.444444444444444198e-01 4.691358024691357764e-01 2.716049382716049371e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+04 5.925925925925926152e-02 4.444444444444444198e-01 4.691358024691357764e-01 2.716049382716049371e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.010000000000000000e+04 5.925925925925926152e-02 4.444444444444444198e-01 4.691358024691357764e-01 2.716049382716049371e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.020000000000000000e+04 5.925925925925926152e-02 4.419753086419753174e-01 4.716049382716049343e-01 2.716049382716049371e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.030000000000000000e+04 5.925925925925926152e-02 4.419753086419753174e-01 4.716049382716049343e-01 2.716049382716049371e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.040000000000000000e+04 5.925925925925926152e-02 4.395061728395061595e-01 4.740740740740740922e-01 2.716049382716049371e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.050000000000000000e+04 5.925925925925926152e-02 4.395061728395061595e-01 4.740740740740740922e-01 2.716049382716049371e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.060000000000000000e+04 5.925925925925926152e-02 4.395061728395061595e-01 4.740740740740740922e-01 2.716049382716049371e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.070000000000000000e+04 5.925925925925926152e-02 4.395061728395061595e-01 4.740740740740740922e-01 2.716049382716049371e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.080000000000000000e+04 5.925925925925926152e-02 4.395061728395061595e-01 4.740740740740740922e-01 2.716049382716049371e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.090000000000000000e+04 5.925925925925926152e-02 4.395061728395061595e-01 4.740740740740740922e-01 2.716049382716049371e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.100000000000000000e+04 5.925925925925926152e-02 4.395061728395061595e-01 4.740740740740740922e-01 2.716049382716049371e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.110000000000000000e+04 5.802469135802468952e-02 4.395061728395061595e-01 4.753086419753086433e-01 2.716049382716049371e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.120000000000000000e+04 5.802469135802468952e-02 4.395061728395061595e-01 4.753086419753086433e-01 2.716049382716049371e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.130000000000000000e+04 5.802469135802468952e-02 4.395061728395061595e-01 4.753086419753086433e-01 2.716049382716049371e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
