# Time     Monomers    Dimers     Chains     Loops     Gels/Branchedchains
7.830000000000000000e+04 1.769999999999999907e-01 2.469999999999999973e-01 4.279999999999999916e-01 9.900000000000000466e-02 4.900000000000000189e-02
7.840000000000000000e+04 1.769999999999999907e-01 2.469999999999999973e-01 4.279999999999999916e-01 9.900000000000000466e-02 4.900000000000000189e-02
7.850000000000000000e+04 1.769999999999999907e-01 2.469999999999999973e-01 4.279999999999999916e-01 9.900000000000000466e-02 4.900000000000000189e-02
7.860000000000000000e+04 1.769999999999999907e-01 2.469999999999999973e-01 4.279999999999999916e-01 9.900000000000000466e-02 4.900000000000000189e-02
7.870000000000000000e+04 1.769999999999999907e-01 2.469999999999999973e-01 4.279999999999999916e-01 9.900000000000000466e-02 4.900000000000000189e-02
7.880000000000000000e+04 1.769999999999999907e-01 2.469999999999999973e-01 4.279999999999999916e-01 9.900000000000000466e-02 4.900000000000000189e-02
7.890000000000000000e+04 1.769999999999999907e-01 2.469999999999999973e-01 4.279999999999999916e-01 9.900000000000000466e-02 4.900000000000000189e-02
7.900000000000000000e+04 1.769999999999999907e-01 2.469999999999999973e-01 4.279999999999999916e-01 9.900000000000000466e-02 4.900000000000000189e-02
7.910000000000000000e+04 1.769999999999999907e-01 2.469999999999999973e-01 4.279999999999999916e-01 9.900000000000000466e-02 4.900000000000000189e-02
7.920000000000000000e+04 1.769999999999999907e-01 2.469999999999999973e-01 4.279999999999999916e-01 9.900000000000000466e-02 4.900000000000000189e-02
7.930000000000000000e+04 1.769999999999999907e-01 2.469999999999999973e-01 4.279999999999999916e-01 9.900000000000000466e-02 4.900000000000000189e-02
7.940000000000000000e+04 1.769999999999999907e-01 2.469999999999999973e-01 4.279999999999999916e-01 9.900000000000000466e-02 4.900000000000000189e-02
7.950000000000000000e+04 1.690000000000000113e-01 2.550000000000000044e-01 4.279999999999999916e-01 9.900000000000000466e-02 4.900000000000000189e-02
7.960000000000000000e+04 1.690000000000000113e-01 2.550000000000000044e-01 4.279999999999999916e-01 9.900000000000000466e-02 4.900000000000000189e-02
7.970000000000000000e+04 1.690000000000000113e-01 2.550000000000000044e-01 4.279999999999999916e-01 9.900000000000000466e-02 4.900000000000000189e-02
7.980000000000000000e+04 1.690000000000000113e-01 2.550000000000000044e-01 4.279999999999999916e-01 9.900000000000000466e-02 4.900000000000000189e-02
7.990000000000000000e+04 1.690000000000000113e-01 2.550000000000000044e-01 4.279999999999999916e-01 9.900000000000000466e-02 4.900000000000000189e-02
8.000000000000000000e+04 1.690000000000000113e-01 2.550000000000000044e-01 4.279999999999999916e-01 9.900000000000000466e-02 4.900000000000000189e-02
8.010000000000000000e+04 1.690000000000000113e-01 2.550000000000000044e-01 4.279999999999999916e-01 9.900000000000000466e-02 4.900000000000000189e-02
8.020000000000000000e+04 1.690000000000000113e-01 2.550000000000000044e-01 4.279999999999999916e-01 9.900000000000000466e-02 4.900000000000000189e-02
8.030000000000000000e+04 1.690000000000000113e-01 2.550000000000000044e-01 4.279999999999999916e-01 9.900000000000000466e-02 4.900000000000000189e-02
8.040000000000000000e+04 1.690000000000000113e-01 2.550000000000000044e-01 4.109999999999999765e-01 1.150000000000000050e-01 4.900000000000000189e-02
8.050000000000000000e+04 1.690000000000000113e-01 2.550000000000000044e-01 4.109999999999999765e-01 1.150000000000000050e-01 4.900000000000000189e-02
8.060000000000000000e+04 1.690000000000000113e-01 2.550000000000000044e-01 4.109999999999999765e-01 1.150000000000000050e-01 4.900000000000000189e-02
8.070000000000000000e+04 1.690000000000000113e-01 2.550000000000000044e-01 4.109999999999999765e-01 1.150000000000000050e-01 4.900000000000000189e-02
8.080000000000000000e+04 1.690000000000000113e-01 2.550000000000000044e-01 4.109999999999999765e-01 1.150000000000000050e-01 4.900000000000000189e-02
8.090000000000000000e+04 1.690000000000000113e-01 2.550000000000000044e-01 4.109999999999999765e-01 1.150000000000000050e-01 4.900000000000000189e-02
8.100000000000000000e+04 1.690000000000000113e-01 2.550000000000000044e-01 4.109999999999999765e-01 1.150000000000000050e-01 4.900000000000000189e-02
8.110000000000000000e+04 1.690000000000000113e-01 2.550000000000000044e-01 4.109999999999999765e-01 1.150000000000000050e-01 4.900000000000000189e-02
8.120000000000000000e+04 1.690000000000000113e-01 2.550000000000000044e-01 4.109999999999999765e-01 1.150000000000000050e-01 4.900000000000000189e-02
8.130000000000000000e+04 1.690000000000000113e-01 2.550000000000000044e-01 4.109999999999999765e-01 1.150000000000000050e-01 4.900000000000000189e-02
8.140000000000000000e+04 1.690000000000000113e-01 2.550000000000000044e-01 4.109999999999999765e-01 1.150000000000000050e-01 4.900000000000000189e-02
8.150000000000000000e+04 1.690000000000000113e-01 2.550000000000000044e-01 4.109999999999999765e-01 1.150000000000000050e-01 4.900000000000000189e-02
8.160000000000000000e+04 1.690000000000000113e-01 2.550000000000000044e-01 4.109999999999999765e-01 1.150000000000000050e-01 4.900000000000000189e-02
8.170000000000000000e+04 1.690000000000000113e-01 2.550000000000000044e-01 4.109999999999999765e-01 1.150000000000000050e-01 4.900000000000000189e-02
8.180000000000000000e+04 1.690000000000000113e-01 2.550000000000000044e-01 4.109999999999999765e-01 1.150000000000000050e-01 4.900000000000000189e-02
8.190000000000000000e+04 1.690000000000000113e-01 2.550000000000000044e-01 4.109999999999999765e-01 1.150000000000000050e-01 4.900000000000000189e-02
8.200000000000000000e+04 1.690000000000000113e-01 2.550000000000000044e-01 4.109999999999999765e-01 1.150000000000000050e-01 4.900000000000000189e-02
8.210000000000000000e+04 1.690000000000000113e-01 2.550000000000000044e-01 4.109999999999999765e-01 1.150000000000000050e-01 4.900000000000000189e-02
8.220000000000000000e+04 1.690000000000000113e-01 2.550000000000000044e-01 4.109999999999999765e-01 1.150000000000000050e-01 4.900000000000000189e-02
8.230000000000000000e+04 1.690000000000000113e-01 2.550000000000000044e-01 4.109999999999999765e-01 1.150000000000000050e-01 4.900000000000000189e-02
